Album Art,Artist,Track Name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
https://i.scdn.co/image/ab67616d0000b273d0bd51668da5629aa0cc77d8,Yuuri,ベテルギウス,0.367,0.671,5,-4.604,1,0.0478,0.222,0.0,0.494,0.691,179.833,audio_features,4JK1kDUdH9RTBQrrSO1QfR,spotify:track:4JK1kDUdH9RTBQrrSO1QfR,https://api.spotify.com/v1/tracks/4JK1kDUdH9RTBQrrSO1QfR,https://api.spotify.com/v1/audio-analysis/4JK1kDUdH9RTBQrrSO1QfR,230600,4
https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,Ado,新時代,0.49,0.987,7,-2.279,1,0.253,0.049,3.24e-06,0.406,0.451,175.064,audio_features,28MATCYDctW5EiBa2repxb,spotify:track:28MATCYDctW5EiBa2repxb,https://api.spotify.com/v1/tracks/28MATCYDctW5EiBa2repxb,https://api.spotify.com/v1/audio-analysis/28MATCYDctW5EiBa2repxb,226813,4
https://i.scdn.co/image/ab67616d0000b273fd363d834b815375814ae78e,back number,水平線,0.424,0.761,10,-3.526,1,0.0305,0.0103,0.0,0.145,0.424,145.816,audio_features,3RvdkNMcSy71m0aT6UF9Uf,spotify:track:3RvdkNMcSy71m0aT6UF9Uf,https://api.spotify.com/v1/tracks/3RvdkNMcSy71m0aT6UF9Uf,https://api.spotify.com/v1/audio-analysis/3RvdkNMcSy71m0aT6UF9Uf,288013,4
https://i.scdn.co/image/ab67616d0000b273096bd9cb2f36c6e918ecc122,Mrs. GREEN APPLE,Soranji,0.476,0.661,5,-5.197,1,0.044,0.0604,0.0,0.144,0.406,156.057,audio_features,6O4twzzHHIM6mmTqPpJNYE,spotify:track:6O4twzzHHIM6mmTqPpJNYE,https://api.spotify.com/v1/tracks/6O4twzzHHIM6mmTqPpJNYE,https://api.spotify.com/v1/audio-analysis/6O4twzzHHIM6mmTqPpJNYE,341443,4
https://i.scdn.co/image/ab67616d0000b273fd363d834b815375814ae78e,back number,アイラブユー,0.483,0.629,1,-3.408,1,0.0276,0.288,0.0,0.143,0.459,77.968,audio_features,34ayWAUrQcrjlKZOJAzqke,spotify:track:34ayWAUrQcrjlKZOJAzqke,https://api.spotify.com/v1/tracks/34ayWAUrQcrjlKZOJAzqke,https://api.spotify.com/v1/audio-analysis/34ayWAUrQcrjlKZOJAzqke,235693,4
https://i.scdn.co/image/ab67616d0000b2733bd4368fd67b77f029f4d2a4,Macaroni Empitsu,なんでもないよ、,0.598,0.511,4,-6.015,1,0.0423,0.245,0.0,0.0732,0.652,171.845,audio_features,5W7Y92LB4jWvu9NeEQ0GZl,spotify:track:5W7Y92LB4jWvu9NeEQ0GZl,https://api.spotify.com/v1/tracks/5W7Y92LB4jWvu9NeEQ0GZl,https://api.spotify.com/v1/audio-analysis/5W7Y92LB4jWvu9NeEQ0GZl,219253,4
https://i.scdn.co/image/ab67616d0000b273c51fc46c18220ed859dab6ed,OFFICIAL HIGE DANDISM,ホワイトノイズ,0.467,0.908,5,-5.831,0,0.0643,0.000582,5.12e-05,0.386,0.477,143.16,audio_features,2wgYCc1xORV5CI8psWTroo,spotify:track:2wgYCc1xORV5CI8psWTroo,https://api.spotify.com/v1/tracks/2wgYCc1xORV5CI8psWTroo,https://api.spotify.com/v1/audio-analysis/2wgYCc1xORV5CI8psWTroo,254839,4
https://i.scdn.co/image/ab67616d0000b2737f482956521db2b389203930,LANA,TURN IT UP - feat. Candee & ZOT on the WAVE,0.85,0.738,0,-5.178,0,0.0683,0.0645,0.0,0.19,0.538,140.06,audio_features,3BjCtb7zq4Nn1riQhneMwo,spotify:track:3BjCtb7zq4Nn1riQhneMwo,https://api.spotify.com/v1/tracks/3BjCtb7zq4Nn1riQhneMwo,https://api.spotify.com/v1/audio-analysis/3BjCtb7zq4Nn1riQhneMwo,193039,4
https://i.scdn.co/image/ab67616d0000b273e44b0d64179ddb05a5323af6,ヨルシカ,アルジャーノン,0.656,0.424,0,-10.153,1,0.0328,0.793,1.63e-06,0.0831,0.503,143.975,audio_features,0L1E2JmrZk6QU9261PtJWQ,spotify:track:0L1E2JmrZk6QU9261PtJWQ,https://api.spotify.com/v1/tracks/0L1E2JmrZk6QU9261PtJWQ,https://api.spotify.com/v1/audio-analysis/0L1E2JmrZk6QU9261PtJWQ,254139,4
https://i.scdn.co/image/ab67616d0000b273244cc50310d5e69aab21c327,Yuuri,ビリミリオン,0.413,0.623,10,-6.223,1,0.0377,0.232,0.0,0.0965,0.629,124.893,audio_features,7KExqPOvjFzAI4d49mQxt9,spotify:track:7KExqPOvjFzAI4d49mQxt9,https://api.spotify.com/v1/tracks/7KExqPOvjFzAI4d49mQxt9,https://api.spotify.com/v1/audio-analysis/7KExqPOvjFzAI4d49mQxt9,226628,4
